2015-06-04 17:38:46 - genglili - /home
2015-06-04 17:40:46 - liujingning - /home
2015-06-04 17:40:47 - liujingning - /home
2015-06-04 17:40:55 - liujingning - /game/gamelist
2015-06-04 17:41:05 - liujingning - /type/typelist
2015-06-04 17:41:06 - liujingning - /game/gamelist
2015-06-04 17:41:07 - liujingning - /game/gamelist
2015-06-04 17:41:10 - liujingning - /article/articlelist?gameid=10001
2015-06-04 17:41:24 - liujingning - /article/articlelist?gameid=10001
2015-06-04 17:41:30 - liujingning - /article/addarticle?gameid=10001
2015-06-04 17:47:12 - liujingning - /article/addarticle?gameid=10001
2015-06-04 17:47:14 - liujingning - /article/articlelist?gameid=10001
2015-06-04 17:47:41 - liujingning - /article/addarticle?gameid=10001
2015-06-04 17:50:08 - liujingning - /?c=login&a=ssologin&sign=0daaf1e227d4b3bed6796a193c45b076a741963815b886cc51a14684849b
2015-06-04 17:50:10 - liujingning - /game/gamelist
2015-06-04 17:50:13 - liujingning - /article/articlelist?gameid=10001
2015-06-04 17:50:14 - liujingning - /article/addarticle?gameid=10001
2015-06-04 17:52:30 - liujingning - /article/addarticle?gameid=10001
2015-06-04 17:52:33 - liujingning - /article/articlelist?gameid=10001
2015-06-04 18:22:11 - liuchenxi - /home
2015-06-04 18:22:14 - liuchenxi - /game/gamelist
2015-06-04 18:22:17 - liuchenxi - /article/articlelist?gameid=10008
2015-06-04 18:22:20 - liuchenxi - /makeshtml/makealllist?gameid=10008
2015-06-04 18:22:22 - liuchenxi - /article/articlelist?gameid=10008
2015-06-04 19:03:37 - liuchenxi - /makeshtml/makeallacticle?gameid=10008
2015-06-04 19:03:41 - liuchenxi - /article/articlelist?gameid=10008
2015-06-04 19:03:43 - liuchenxi - /makeshtml/makealllist?gameid=10008
2015-06-04 19:03:45 - liuchenxi - /article/articlelist?gameid=10008
2015-06-04 19:05:37 - liuchenxi - /makeshtml/makeallacticle?gameid=10008
2015-06-04 19:05:40 - liuchenxi - /article/articlelist?gameid=10008
2015-06-04 19:05:41 - liuchenxi - /makeshtml/makealllist?gameid=10008
2015-06-04 19:05:44 - liuchenxi - /article/articlelist?gameid=10008
2015-06-04 19:10:58 - liuchenxi - /makeshtml/makeallacticle?gameid=10008
2015-06-04 19:11:01 - liuchenxi - /article/articlelist?gameid=10008
2015-06-04 19:11:03 - liuchenxi - /makeshtml/makealllist?gameid=10008
2015-06-04 19:11:05 - liuchenxi - /article/articlelist?gameid=10008
